cell_line,gene,escape_prone_mean,stable_tis_mean,log_fold_change,absolute_log_fold_change,mann_whitney_statistic,p_value,adjusted_p_value,direction
T47D,PRR11,0.5543562769889832,0.24811574816703796,0.3062405288219452,0.3062405288219452,35292488.0,0.0,0.0,higher_in_escape_prone
T47D,TUBB,1.7031230926513672,1.3977737426757812,0.30534934997558594,0.30534934997558594,35672904.0,0.0,0.0,higher_in_escape_prone
T47D,NUF2,0.5209653973579407,0.21722200512886047,0.3037433922290802,0.3037433922290802,35448320.0,0.0,0.0,higher_in_escape_prone
T47D,PLK1,0.5193743705749512,0.2181878238916397,0.30118656158447266,0.30118656158447266,34927872.0,0.0,0.0,higher_in_escape_prone
T47D,TACC3,0.6742864847183228,0.3739871680736542,0.3002993166446686,0.3002993166446686,34700504.0,0.0,0.0,higher_in_escape_prone
T47D,ANP32E,0.8912878036499023,0.5930749773979187,0.29821282625198364,0.29821282625198364,35050816.0,0.0,0.0,higher_in_escape_prone
T47D,KIF20B,0.9233564138412476,0.6268944144248962,0.2964619994163513,0.2964619994163513,34464920.0,0.0,0.0,higher_in_escape_prone
T47D,TK1,0.7215803265571594,0.42755791544914246,0.29402241110801697,0.29402241110801697,34630480.0,0.0,0.0,higher_in_escape_prone
T47D,KIF14,0.4994204640388489,0.20695838332176208,0.2924620807170868,0.2924620807170868,34970224.0,0.0,0.0,higher_in_escape_prone
T47D,PTMA,2.859668493270874,2.5688154697418213,0.29085302352905273,0.29085302352905273,37519888.0,0.0,0.0,higher_in_escape_prone
T47D,SMC2,1.104305624961853,0.8192507028579712,0.28505492210388184,0.28505492210388184,34585712.0,0.0,0.0,higher_in_escape_prone
T47D,CDC20,0.5147665739059448,0.23116430640220642,0.2836022675037384,0.2836022675037384,34611216.0,0.0,0.0,higher_in_escape_prone
T47D,VMP1,1.0760810375213623,1.3579996824264526,-0.28191864490509033,0.28191864490509033,22850968.0,0.0,0.0,lower_in_escape_prone
T47D,ZWINT,0.7070888876914978,0.4287722110748291,0.2783166766166687,0.2783166766166687,34522128.0,0.0,0.0,higher_in_escape_prone
T47D,ARHGAP11A,0.49246782064437866,0.21479159593582153,0.27767622470855713,0.27767622470855713,34764096.0,0.0,0.0,higher_in_escape_prone
T47D,IFIT3,0.27074551582336426,0.5470289587974548,-0.2762834429740906,0.2762834429740906,23850910.0,0.0,0.0,lower_in_escape_prone
T47D,HSPB1,2.796612024307251,3.0707004070281982,-0.27408838272094727,0.27408838272094727,20983130.0,0.0,0.0,lower_in_escape_prone
T47D,KIF11,0.5538671016693115,0.28161850571632385,0.27224859595298767,0.27224859595298767,34404216.0,0.0,0.0,higher_in_escape_prone
T47D,TPM1,1.3861531019210815,1.6579970121383667,-0.27184391021728516,0.27184391021728516,23097792.0,0.0,0.0,lower_in_escape_prone
